Sl. No.,State/UT,Human Lives Lost (Number),Crops Area Affected (in lakh ha.)
1,Andhra Pradesh,40,1.51
2,Arunachal Pradesh,6,0.02
3,Assam,26,0.67
4,Bihar,53,5.8
5,Chhattisgarh,16,NA
6,Goa,3,0.001
7,Gujarat,162,1.49
8,Haryana,4,NA
9,Himachal Pradesh,298,0.07
10,Karnataka,144,13.98
11,Kerala,138,0.85
12,Madhya Pradesh,127,1.06
13,Maharashtra,489,4.55
14,Meghalaya,2,NA
15,Nagaland,2,0.17
16,Odisha,19,1.82
17,Punjab,18,0.04
18,Rajasthan,51,6.79
19,Sikkim,9,0.02
20,Tamil Nadu,54,0.51
21,Tripura,6,NA
22,Uttar Pradesh,162,3.61
23,Uttarakhand,107,0.54
24,West Bengal,65,6.9
25,UT of Daman & Diu,1,0
Total,Total,2002,50.4
